title,company,link,id,upload_date,purge_date,status
Medical Lead Breast Cancer Gulf,Novartis,https://www.novartis.com/careers/career-search/job-details/372570br/medical-lead-breast-cancer-gulf,372570br,2023-05-03,2023-05-13,expired
Regulatory Affairs Associate - 3rd Party Contract,Novartis,https://www.novartis.com/careers/career-search/job-details/372541br/regulatory-affairs-associate-3rd-party-contract,372541br,2023-05-03,2023-05-09,expired
Complement - First Line Sales manager- Gulf,Astrazeneca,https://careers.astrazeneca.com//job/dubai/complement-first-line-sales-manager-gulf/7684/48249992480,48249992480,2023-05-03,2023-05-08,expired
Metabolic - First Line Sales manager,Astrazeneca,https://careers.astrazeneca.com//job/dubai/metabolic-first-line-sales-manager/7684/48249980272,48249980272,2023-05-03,2023-05-08,expired
Executive Assistant Government Affairs &amp; Policy  Emerging Markets,Jonson Jonson,https://jobs.jnj.com//en/jobs/2306118221w/executive-assistant-government-affairs-policy-emerging-markets/,2306118221w,2023-05-03,2023-05-29,expired
Primary Care Specialist,Sanofi,https://en.jobs.sanofi.com/job/dubai/primary-care-specialist/20873/48331688576,48331688576,2023-05-04,2023-05-17,expired
Vaccine Account Manager,GSK,https://gsk.wd5.myworkdayjobs.com/en-us/GSKCareers/job/UAE---Dubai/Vaccine-Account-Manager_369652-1,369652,2023-05-05,2023-05-11,expired
Vaccine Account Manager,GSK,https://gsk.wd5.myworkdayjobs.com/en-us/GSKCareers/job/UAE---Dubai/Vaccine-Account-Manager_369651-1,369651,2023-05-05,2023-05-11,expired
Senior Product Specialist Complement &#x2013; Rare Disease,Astrazeneca,https://careers.astrazeneca.com//job/dubai/senior-product-specialist-complement-rare-disease/7684/48377073648,48377073648,2023-05-05,2023-05-09,expired
Senior Product Specialist Complement &#x2013; Rare Disease,Astrazeneca,https://careers.astrazeneca.com//job/dubai/senior-product-specialist-complement-rare-disease/7684/48703171616,48703171616,2023-05-11,2023-05-25,expired
Senior Product Specialist Neurology - Rare Disease,Astrazeneca,https://careers.astrazeneca.com//job/dubai/senior-product-specialist-neurology-rare-disease/7684/48701763456,48701763456,2023-05-11,2023-05-18,expired
Product Specialist-Enhertu,Astrazeneca,https://careers.astrazeneca.com//job/dubai/product-specialist-enhertu/7684/48656121360,48656121360,2023-05-11,2023-05-20,expired
Market Access Manager - Gulf,Astrazeneca,https://careers.astrazeneca.com//job/dubai/market-access-manager-gulf/7684/48633022208,48633022208,2023-05-11,2023-05-19,expired
Metabolic - First Line Sales manager,Astrazeneca,https://careers.astrazeneca.com//job/dubai/metabolic-first-line-sales-manager/7684/48633017312,48633017312,2023-05-11,2023-05-13,expired
GCC Diagnostics Manager,Astrazeneca,https://careers.astrazeneca.com//job/dubai/gcc-diagnostics-manager/7684/48633017280,48633017280,2023-05-11,2023-05-19,expired
Complement - First Line Sales manager- Gulf,Astrazeneca,https://careers.astrazeneca.com//job/dubai/complement-first-line-sales-manager-gulf/7684/48617823360,48617823360,2023-05-11,2023-05-13,expired
GBS (Global Business Services) Credit &amp; Revenue Partner - United Arab Emirates &amp; Saudi Arabia,Sanofi,https://en.jobs.sanofi.com/job/dubai/gbs-global-business-services-credit-and-revenue-partner-united-arab-emirates-and-saudi-arabia/20873/48665266016,48665266016,2023-05-11,2023-05-17,expired
Head of Business Operations &amp; Planning Vaccines Greater Gulf MCO,Sanofi,https://en.jobs.sanofi.com/job/dubai/head-of-business-operations-and-planning-vaccines-greater-gulf-mco/20873/48648700752,48648700752,2023-05-11,2023-05-14,expired
Branding Sr. Specialist -Global Talent Acquisition,Merk,https://msd.wd5.myworkdayjobs.com/en-US/SearchJobs/job/USA---New-Jersey---Rahway/Branding-Sr-Specialist--Global-Talent-Acquisition_R239351-1,R239351,2023-05-12,2023-05-31,expired
Omnichannel Lead - VIE Contract (W/M),Sanofi,https://en.jobs.sanofi.com/job/dubai/omnichannel-lead-vie-contract-w-m/20873/48712473440,48712473440,2023-05-12,2023-05-18,expired
"Data Privacy, Digital - AI (DPDAI) Head - MEA Cluster",Novartis,https://www.novartis.com/careers/career-search/job-details/374152br/data-privacy-digital-ai-dpdai-head-mea-cluster,374152br,2023-05-16,2023-06-20,expired
Senior Product Specialist Neurology,Astrazeneca,https://careers.astrazeneca.com//job/dubai/senior-product-specialist-neurology/7684/48913781648,48913781648,2023-05-16,2023-05-31,expired
Senior Product Specialist Complement,Astrazeneca,https://careers.astrazeneca.com//job/dubai/senior-product-specialist-complement/7684/48913779824,48913779824,2023-05-16,2023-05-31,expired
Senior Product Specialist Metabolic,Astrazeneca,https://careers.astrazeneca.com//job/dubai/senior-product-specialist-metabolic/7684/48913778096,48913778096,2023-05-16,2023-05-31,expired
"Legal, Ethics and Compliance Manager",Novo Nordisk,https://www.novonordisk.com/content/nncorp/global/en/careers/find-a-job/job-ad.278576.en_GB.html,278576.en_GB,2023-05-16,2023-05-31,expired
GCC CFO,Astrazeneca,https://careers.astrazeneca.com//job/dubai/gcc-cfo/7684/48983640160,48983640160,2023-05-17,2023-05-26,expired
Emerging Gulf Country Director,Astrazeneca,https://careers.astrazeneca.com//job/dubai/emerging-gulf-country-director/7684/48983636832,48983636832,2023-05-17,2023-05-28,expired
Key Account Manager,Sanofi,https://en.jobs.sanofi.com/job/dubai/key-account-manager/20873/48945489424,48945489424,2023-05-17,2023-05-23,expired
Project Intern,Novartis,https://www.novartis.com/careers/career-search/job-details/374547br/project-intern,374547br,2023-05-18,2023-05-29,expired
GCC Franchise Head &#x2013; Rare Disease Metabolic,Astrazeneca,https://careers.astrazeneca.com//job/dubai/gcc-franchise-head-rare-disease-metabolic/7684/49032234128,49032234128,2023-05-18,2023-05-29,expired
Omnichannel Lead - VIE Contract (W/M),Sanofi,https://en.jobs.sanofi.com/job/dubai/omnichannel-lead-vie-contract-w-m/20873/49041436160,49041436160,2023-05-19,2023-06-20,expired
